"name","averageRating","numVotes","V1","director","score","year","foreign"
"Tabu",6.5,44,"4666","Miguel Gomes",7.3,2012,FALSE
"Tabu",5.6,12,"4666","Miguel Gomes",7.3,2012,FALSE
"Tabu",7.5,153,"4666","Miguel Gomes",7.3,2012,FALSE
"Tabu",5.1,97,"4666","Miguel Gomes",7.3,2012,FALSE
"Tabu",6.8,108,"4666","Miguel Gomes",7.3,2012,FALSE
"Tabu",7.3,5667,"4666","Miguel Gomes",7.3,2012,FALSE
"Tabu",6.9,6446,"4666","Miguel Gomes",7.3,2012,FALSE
"Tabu",7.9,579,"4666","Miguel Gomes",7.3,2012,FALSE
"Tabu",6.2,90,"4666","Miguel Gomes",7.3,2012,FALSE
"Tabu",5.8,6,"4666","Miguel Gomes",7.3,2012,FALSE
"Tabu",3.6,1680,"4666","Miguel Gomes",7.3,2012,FALSE
"Tabu",7,10859,"4666","Miguel Gomes",7.3,2012,FALSE
"Tabu",8,108,"4666","Miguel Gomes",7.3,2012,FALSE
"Tabu",8.5,85803,"4666","Miguel Gomes",7.3,2012,FALSE
"Tadpole",6.2,5391,"2251","Gary Winick",6.5,2002,FALSE
"Take Care",9,9,"4057","Liz Tuccillo",5.5,2014,FALSE
"Take Care",8.1,16,"4057","Liz Tuccillo",5.5,2014,FALSE
"Take Care",6,144,"4057","Liz Tuccillo",5.5,2014,FALSE
"Take Care",6.1,2682,"4057","Liz Tuccillo",5.5,2014,FALSE
