"","director","name","score","year","foreign"
"2205","Gareth Edwards","Monsters",7,2010,FALSE
"2206","Gareth Edwards","Rogue One - A Star Wars Story",3,2016,FALSE
"2207","Gareth Evans","The Raid 2",4.2,2014,FALSE
"2208","Gareth Huw Evans","The Raid - Redemption",6,2012,FALSE
"2209","Garin Hovannisian and Alec Mouhibian","1915",5,2015,FALSE
"2210","Garin Nugroho","Opera Jawa",7.2,2006,FALSE
"2211","Garrett Bradley","Below Dreams",4.4,2015,FALSE
"2212","Garry Marshall","Georgia Rule",6,2007,FALSE
"2213","Garry Marshall","Mothers Day",4,2016,FALSE
"2214","Garry Marshall","New Year's Eve",6,2011,FALSE
"2215","Garry Marshall","Raising Helen",6,2004,FALSE
"2216","Garry Marshall","Runaway Bride",5.6,1999,FALSE
"2217","Garry Marshall","The Other Sister",6.5,1999,FALSE
"2218","Garry Marshall","The Princess Diaries",6,2001,FALSE
"2219","Garry Marshall","Valentine's Day",4.5,2010,FALSE
"2220","Garry Marshall: The Princess Diaries 2","Royal Engagement",4.5,2004,FALSE
"2221","Garth Davis","Lion",5.4,2016,FALSE
"2222","Garth Jennings","Hitchhiker's Guide to the Galaxy",6,2005,FALSE
"2223","Garth Jennings","Sing",4,2016,FALSE
"2224","Garth Jennings","Son of Rambow",6,2008,FALSE
"2225","Gary-Michael Schultz","Vincent N Roxxy",6.9,2017,FALSE
"2226","Gary Burns","Waydowntown",6.4,2002,FALSE
"2227","Gary Chapman","Valiant",5,2005,FALSE
"2228","Gary Entin","Geography Club",5,2013,FALSE
"2229","Gary Fleder","Homefront",5,2013,FALSE
"2230","Gary Fleder","Impostor",4,2000,FALSE
"2231","Gary Fleder","Runaway Jury",6,2003,FALSE
"2232","Gary Fleder","The Express",5,2008,FALSE
"2233","Gary Gray","Be Cool",4,2005,FALSE
"2234","Gary Gray","Law Abiding Citizen",6,2009,FALSE
"2235","Gary Gray","Straight Outta Compton",5,2015,FALSE
"2236","Gary Hardwick","Deliver Us From Eva",6,2003,FALSE
"2237","Gary Hardwick","The Brothers",6,2001,FALSE
"2238","Gary Oldman","Nil by Mouth",7,1998,FALSE
"2239","Gary Ross","Free State of Jones",7,2016,FALSE
"2240","Gary Ross","Ocean's 8",5.4,2018,FALSE
"2241","Gary Ross","Pleasantville",6.7,1998,FALSE
"2242","Gary Ross","Seabiscuit",4,2003,FALSE
"2243","Gary Ross","The Hunger Games",5,2012,FALSE
"2244","Gary Rydstrom","Strange Magic",5,2015,FALSE
"2245","Gary Shore","Dracula Untold",4.2,2014,FALSE
"2246","Gary Sinyor","The Bachelor",5.8,1999,FALSE
"2247","Gary Trousdale","Atlantis",5,2001,FALSE
"2248","Gary Winick","Bride Wars",5,2009,FALSE
"2249","Gary Winick","Charlotte's Web",6,2006,FALSE
"2250","Gary Winick","Letters to Juliet",6,2010,FALSE
"2251","Gary Winick","Tadpole",6.5,2002,FALSE
"2252","Gary Winick","The Tic Code",6,2000,FALSE
"2253","Gaspar Noe","Climax",6.8,2018,FALSE
"2254","Gaspar Noe","Enter the Void",6.9,2009,FALSE
"2255","Gaspar Noe","Irreversible",6.5,2002,FALSE
"2256","Gaspar Noe","Love",6.1,2015,FALSE
"2257","Gaspar Now","Soudain Le Vide",7,2009,FALSE
"2258","Gaston Solnicki","Kekszakallu",7,2016,FALSE
"2259","Gavin Hood","Ender's Game",6,2013,FALSE
"2260","Gavin Hood","Eye in the Sky",6.8,2015,FALSE
"2261","Gavin Hood","Rendition",5,2007,FALSE
"2262","Gavin Hood","Tsotsi",6.5,2005,FALSE
"2263","Gavin Hood: ""X-Men Origins","Wolverine",4,2009,FALSE
"2264","Gavin O'Connor","""Pride and Glory""",5,2008,FALSE
"2265","Gavin O'Connor","The Accountant",4.5,2016,FALSE
"2266","Gavin O'Connor","Tumbleweeds",6.2,1999,FALSE
"2267","Gavin O'Connor","Warrior",6.5,2011,FALSE
"2268","Gavin Wiesen","The Art of Getting By",5.5,2011,FALSE
"2269","Gela Babluani","13 Tzameti",7.1,2005,FALSE
"2270","Gene Rhee","The Trouble With Romance",5,2007,FALSE
"2271","Geoff Cunningham","Rocky Road",4.5,2001,FALSE
"2272","Geoff Marslett","Loves Her Gun",6.4,2014,FALSE
"2273","Geoff Marslett","Mars",6.5,2010,FALSE
"2274","Geoff Moore and David Posamentier","Better Living Through Chemistry",5,2014,FALSE
"2275","Geoffrey Fletcher","Violet & Daisy",5,2013,FALSE
"2276","Geoffrey Sax","Frankie & Alice",5.8,2014,FALSE
"2277","Geoffrey Sax;","White Noise",5,2005,FALSE
"2278","Geoffrey Wright","Cherry Falls",5,2000,FALSE
"2279","Geoffrey Wright","Macbeth",6,2007,FALSE
"2280","Georg Maas","Two Lives",6.6,2014,FALSE
"2281","George Bamber","The Mostly Unfabulous Social Life of Ethan Green",5,2006,FALSE
"2282","George Clooney","Confessions of a Dangerous Mind",4.5,2003,FALSE
"2283","George Clooney","Good Night And Good Luck",6,2005,FALSE
"2284","George Clooney","Leatherheads",4,2008,FALSE
"2285","George Clooney","Suburbicon",6.3,2017,FALSE
"2286","George Clooney","The Ides of March",5,2011,FALSE
"2287","George Gallo","Double Take",4,2001,FALSE
"2288","George Gallo","Local Color",6,2009,FALSE
"2289","George Gallo","Middle Men",6,2010,FALSE
"2290","George Hickenlooper","Casino Jack",6,2010,FALSE
"2291","George Hickenlooper","Factory Girl",5.9,2007,FALSE
"2292","George Hickenlooper","The Man From Elysian Fields",5,2002,FALSE
"2293","George Lucas","Star Wars - Episode I",5.5,1999,FALSE
"2294","George Lucas","Star Wars Episode 2 - Attack of the Clones",6.5,2002,FALSE
"2295","George Lucas: Star Wars","Episode III - Revenge of the Sith",6.9,2005,FALSE
"2296","George Miller","Babe Pig In The City (1998)",5.5,1998,FALSE
"2297","George Miller","Happy Feet Two",5.7,2011,FALSE
"2298","George Miller","Mad Max - Fury Road",5.9,2015,FALSE
"2299","George Nolfi","Adjustment Bureau",7,2011,FALSE
"2300","George Nolfi","Birth of the Dragon (2016)",5.6,2016,FALSE
"2301","George Ratliff","Joshua",6.8,2007,FALSE
"2302","George Ratliff","Salvation Boulevard",6.5,2011,FALSE
"2303","George Romero","Land of the Dead",7,2005,FALSE
"2304","George Romero","Survival of the Dead",4,2010,FALSE
"2305","George Tillman","Faster",5,2010,FALSE
"2306","George Tillman","Men Of Honor",6,2000,FALSE
"2307","George Tillman","Notorious",4,2009,FALSE
