"","director","name","score","year","foreign"
"1","3.5","3.5",3.5,2003,FALSE
"2","4.9","4.9",4.9,2005,FALSE
"3","5.9","5.9",5.9,2003,FALSE
"4","A. J. Edwards","The Better Angels",4.8,2014,FALSE
"5","Aaron Fernandez","The Empty Hours",7,2013,FALSE
"6","Aaron Harnick","30 Days",4.5,2000,FALSE
"7","Aaron Katz","Cold Weather",6.6,2011,FALSE
"8","Aaron Katz","Gemini",7,2018,FALSE
"9","Aaron Katz","Quiet City",7,2007,FALSE
"10","Aaron Katz and Martha Stephens","Land Ho",6,2014,FALSE
"11","Aaron Schneider","Get Low",6.5,2010,FALSE
"12","Aaron Sorkin","Molly<U+0092>s Game",6.6,2017,FALSE
"13","Aaron Wilson","Canopy",6.8,2014,FALSE
"14","Aaron Woodley","Tennessee",4.5,2009,FALSE
"15","Abbas Kiarostami","24 Frames",7,2017,FALSE
"16","Abbas Kiarostami","Certified Copy",6.5,2010,FALSE
"17","Abbas Kiarostami","Like Someone in Love",7,2012,FALSE
"18","Abbas Kiarostami","Shirin",6.5,2008,FALSE
"19","Abbas Kiarostami","Ten",7,2002,FALSE
"20","Abbas Kiarostami","The Wind Will Carry Us",7.2,1999,FALSE
"21","Abbas Tyrewalla","Jaane Tu",5,2008,FALSE
"22","Abby Kohn & Marc Silverstein","I Feel Pretty",5,2018,FALSE
"23","Abdellatif Kechiche"," Blue is the Warmest Color",6.6,2013,TRUE
"24","Abdellatif Kechiche","Games of Love and Chance",7,2005,FALSE
"25","Abdellatif Kechiche","L'Esquive",7,2005,FALSE
"26","Abderrahmane Sissako","Bamako",7,2006,FALSE
"27","Abderrahmane Sissako","Timbuktu",6.9,2014,FALSE
"28","Abderrahmane Sissako","Waiting for Happiness",7.2,2002,FALSE
"29","Abderrahmane Sissako","Waiting For Happiness",6.8,2002,FALSE
"30","Abdullah Oguz","Bliss",7.1,2007,FALSE
"31","Abe Sylvia","Dirty Girl",6,2011,FALSE
"32","Abel Ferrara","'R Xmas",6,2002,FALSE
"33","Abel Ferrara","4:44 Last Day on Earth",7,2011,FALSE
"34","Abel Ferrara","Blackout",6.6,1998,FALSE
"35","Abel Ferrara","Go Go Tales",7,2007,FALSE
"36","Abel Ferrara","New Rose Hotel",6.5,1999,FALSE
"37","Abel Ferrara","Welcome to New York",6.5,2014,FALSE
"38","Abhishek Kapoor","Kai Po Che",5,2013,FALSE
"39","Abhishek Kapoor","Rock On",5,2008,FALSE
"40","Abhishek Sharma","Tere Bin Laden",6,2010,FALSE
"41","Abhishek Varman: Abhishek Varman","2 States",6.2,2014,FALSE
"42","Abu-Assad","Rana's Wedding",5,2003,FALSE
"43","Achero Manas","El Bola",7,2002,FALSE
"44","Adam Abraham","Man of the Century",6.6,1999,FALSE
"45","Adam Bernstein","Six Ways To Sunday",6.5,1999,FALSE
"46","Adam Brooks","Definitely Maybe",6.5,2008,FALSE
"47","Adam Brooks","Invisible Circus",4.5,2001,FALSE
"48","Adam Carolla","Road Hard",5,2015,FALSE
"49","Adam Collis","Sunset Strip",5,2000,FALSE
"50","Adam Elliot","Mary & Max",7.1,2009,FALSE
"51","Adam Goldberg","I Love Your Work",5,2005,FALSE
"52","Adam Green","Frozen",6,2010,FALSE
"53","Adam Green","Hatchet",4,2007,FALSE
"54","Adam Kane","Formosa Betrayed",6,2010,FALSE
"55","Adam Larson Broder","Pumpkin",5,2002,FALSE
"56","Adam Leon","Gimme the Loot",6.7,2012,FALSE
"57","Adam MacDonald","Backcountry",7,2014,FALSE
"58","Adam Marcus","Let It Snow",5,2001,FALSE
"59","Adam McKay","Anchorman",5.5,2004,FALSE
"60","Adam McKay","Anchorman 2 - The Legend Continues",4.2,2013,FALSE
"61","Adam McKay","Step Brothers",5,2008,FALSE
"62","Adam McKay","The Big Short",7.1,2015,FALSE
"63","Adam McKay","The Other Guys",5,2010,FALSE
"64","Adam Rapp","Loitering With Intent",4.5,2015,FALSE
"65","Adam Rapp","Winter Passing",6,2006,FALSE
"66","Adam Reid","Hello Lonesome",6,2011,FALSE
"67","Adam Rifkin","Detroit Rock City",4.5,1999,FALSE
"68","Adam Rifkin","Look",6.5,2007,FALSE
"69","Adam Rifkin","Night at the Golden Eagle",6,2002,FALSE
"70","Adam Rifkin","The Last Movie Star",4.6,2018,FALSE
"71","Adam Rodgers","At Middleton",6.9,2014,FALSE
"72","Adam Salky","Dare",6.9,2009,FALSE
"73","Adam Sandler","Click",5,2006,FALSE
"74","Adam Shankman","A Walk To Remember",4,2002,FALSE
"75","Adam Shankman","Bringing Down the House",5,2003,FALSE
"76","Adam Shankman","Cheaper by the Dozen 2",3.5,2005,FALSE
"77","Adam Shankman","Hairspray",5,2007,FALSE
"78","Adam Shankman","Rock of Ages",5,2012,FALSE
"79","Adam Shankman","The Pacifier",5,2005,FALSE
"80","Adam Shankman","The Wedding Planner",5,2001,FALSE
"81","Adam Sherman","Crazy Eyes",5,2012,FALSE
"82","Adam Sherman","Happiness Runs",5,2010,FALSE
"83","Adam Smith","Trespass Against Us",4,2017,FALSE
"84","Adam Vardy","Mendy A Question of Faith",5,2006,FALSE
"85","Adam Watstein","Loudmouth Soup",6.3,2005,FALSE
"86","Adam Wingard","Blair Witch",5,2016,FALSE
"87","Adam Wingard","Death Note",5.8,2017,FALSE
"88","Adam Wingard","The Guest",6.4,2014,FALSE
"89","Adam Wingard","You're Next",6,2013,FALSE
"90","Adam Wingard and Joe Swanberg","Autoerotic",5,2011,FALSE
"91","Adina Pintilie","Touch Me Not",7,2018,FALSE
"92","Aditya Assarat","Wonderful Town",7.3,2007,FALSE
"93","Adolfo Borinaga Alix","Adela",6.5,2009,FALSE
"94","Adrian-Garcia Bogliano"," Rooms for Tourists",6,2005,TRUE
"95","Adrian Biniez","Gigante",6.5,2009,FALSE
"96","Adrian Garcia Bogliano","Here Comes the Devil",5,2013,FALSE
"97","Adrian Garcia Bogliano","Late Phases",6,2014,FALSE
"98","Adrian Lyne","Lolita",6,1998,FALSE
"99","Adrian Lyne","Unfaithful",6,2002,FALSE
"100","Adrian Shergold","Pierrepoint",6,2007,FALSE
"101","Adrian Sitaru","Pescuit Sportiv",7,2007,FALSE
"102","Adrienne Shelly","Waitress",6.5,2007,FALSE
"103","Afonso Poyart","Solace",4,2016,FALSE
"104","Agnes Jaoui","Let It Rain",6.9,2008,FALSE
"105","Agnes Jaoui","Look at Me",7,2004,FALSE
"106","Agnes Jaoui","The Taste Of Others",6.4,2000,FALSE
"107","Agnes Jaoui: Look At Me","Comme Un Image",7.1,2004,FALSE
"108","Agnes Merlet","Quest for Camelot",4.1,1998,FALSE
"109","Agnes Trouble","My Name Is Hmmm",6.4,2015,FALSE
"110","Agni Varsha","The Fire and the Rain",6,2002,FALSE
"111","Agnieszka Holland","Burning Bush",7,2013,FALSE
"112","Agnieszka Holland","In Darkness",7,2011,FALSE
"113","Agnieszka Holland","Spoor",7.2,2017,FALSE
"114","Agnieszka Holland","The Third Miracle",7,1999,FALSE
"115","Agnieszka Smoczynska","The Lure",6.9,2015,FALSE
"116","Agnieszka Wojtowicz-Vosloo","After Life",5.9,2010,FALSE
"117","Agust<U+613C><U+3E31>n Diaz Yanes","Don't Tempt Me",5,2003,FALSE
"118","Agustin","Falling Awake",5,2010,FALSE
"119","Aileen Ritchie","The Closer You Get",6.9,2000,FALSE
"120","Ake Sandgren"," Truly Human",7,2002,TRUE
"121","Aki Kaurismaki"," Lights in the Dusk",7.1,2006,TRUE
"122","Aki Kaurismaki","I Hired A Contract Killer",6.5,1998,FALSE
"123","Aki Kaurismaki","Le Havre",7.1,2011,FALSE
"124","Aki Kaurismaki","The Man Without a Past",7.4,2002,FALSE
"125","Aki Kaurismaki","The Other Side of Hope",6.8,2017,FALSE
"126","Akiva Goldsman","Winter's Tale",5,2014,FALSE
"127","Akiva Schaffer","Hot Rod",5,2007,FALSE
"128","Akiva Schaffer","The Watch",4,2012,FALSE
"129","Al Corley","Bigger Than the Sky",5,2005,FALSE
"130","Al Pacino","Salome",6.5,2018,FALSE
"131","Ala Eddine Slim","The Last of Us",7.1,2016,FALSE
"132","Alain Berliner","Passion Of Mind",5.1,2000,FALSE
"133","Alain Cavalier","Le Combat dans l'Ile",5,2009,FALSE
"134","Alain Corneau","Fear and Trembling",6.5,2004,FALSE
"135","Alain Corneau","Love Crime",6.9,2011,FALSE
"136","Alain Guiraudie","Staying Vertical",6.9,2016,FALSE
"137","Alain Guiraudie","Stranger by the Lake",7.1,2013,FALSE
"138","Alain Guiraudie","The King of Escape",6.8,2009,FALSE
"139","Alain Resnais"," Life of Riley",6,2014,TRUE
"140","Alain Resnais"," Private Fears in Public Places",7,2006,TRUE
"141","Alain Resnais","Wild Grass",6.9,2009,FALSE
"142","Alain Resnais","You Ain't Seen Nothin' Yet",7.1,2012,FALSE
"143","Alan Brown","Private Romeo",6,2012,FALSE
"144","Alan Hall","Towelhead",6,2008,FALSE
"145","Alan Hruska","Nola",4,2004,FALSE
"146","Alan Hruska & Bruce Guthrie","The Man on Her Mind",5,2014,FALSE
"147","Alan Parker","Angela's Ashes",5.6,1999,FALSE
"148","Alan Parker","The Life of David Gale",6.5,2003,FALSE
"149","Alan Poul","The Back-up Plan",4.5,2010,FALSE
"150","Alan Rickman","A Little Chaos",6,2015,FALSE
"151","Alan Rudolph","Afterglow",6.1,1998,FALSE
"152","Alan Rudolph","Breakfast of Champions",5.9,1998,FALSE
"153","Alan Rudolph","Ray Meets Helen",7,2018,FALSE
"154","Alan Rudolph","Secret Lives of Dentists",6.9,2002,FALSE
"155","Alan Rudolph","Trixie",5.6,2000,FALSE
"156","Alan Taylor","Kill the Poor",6,2006,FALSE
"157","Alan Taylor","Terminator Genisys",5,2015,FALSE
"158","Alan Taylor","The Emperor's New Clothes",4.5,2002,FALSE
"159","Alan Taylor","Thor - The Dark World",4,2013,FALSE
"160","Alan White","Broken",5,2007,FALSE
"161","Alan White","Reclaim",5,2014,FALSE
"162","Albert Brooks","Looking for Comedy in the Muslim World",5,2006,FALSE
"163","Albert Brooks","The Muse",4.5,1999,FALSE
"164","Albert Serra"," Birdsong",7.2,2008,TRUE
"165","Albert Serra","Honor de Cavalleria",5,2007,TRUE
"166","Albert Serra","Story of My Death",6.4,2014,FALSE
"167","Alberto Arvelo","The Liberator",5,2014,FALSE
"168","Alejandro Agresti","The Lake House",5,2006,FALSE
"169","Alejandro Agresti","Valentin",6,2004,FALSE
"170","Alejandro Amen<U+613C><U+3E30>bar","The Others",6.7,2001,FALSE
"171","Alejandro Amenabar","Agora",7,2009,FALSE
"172","Alejandro Amenabar","Mar Adentro",6.6,2004,FALSE
"173","Alejandro Gonzales Inarritu","21 Grams",7.8,2003,FALSE
"174","Alejandro Gonzales Inarritu","Amores Perros",7.5,2000,FALSE
"175","Alejandro Gonzales Inarritu","Babel",7,2006,FALSE
"176","Alejandro Gonzalez Inarritu","Biutiful",6.5,2010,FALSE
"177","Alejandro Inarritu","Birdman",6,2014,FALSE
"178","Alejandro Inarritu","The Revenant",6,2015,FALSE
"179","Alejandro Jodorowsky"," Endless Poetry (2016)",7.1,2016,TRUE
"180","Alejandro Jodorowsky","The Dance of Reality",7.8,2013,FALSE
"181","Alejandro Landes","Porfirio",5.5,2013,FALSE
"182","Alejandro Monteverde","Little Boy",5,2015,FALSE
"183","Aleksander Sokurov","Francofonia",7.1,2015,FALSE
"184","Aleksandr Sokurov","10",6.9,2001,TRUE
"185","Aleksandr Sokurov","Moloch",6.8,2000,FALSE
"186","Aleksandr Sokurov","The Sun",6.9,2005,FALSE
"187","Aleksei German","Hard to Be a God",7.1,2013,FALSE
"188","Aleksei Guerman","Khroustaliov",5.5,1998,FALSE
"189","Aleksey German","Dovlatov",7,2018,FALSE
"190","Alessandro Carloni and Jennifer Yuh Nelson","Kung Fu Panda 3",5,2016,FALSE
"191","Alessandro Comodin","Happy Times Will Come Soon",6.9,2016,FALSE
"192","Alethea Jones","Fun Mom Dinner",4.1,2017,FALSE
"193","Alex & Andrew Smith","Walking Out",5,2017,FALSE
"194","Alex de la Iglesia","Last Circus",7.2,2010,FALSE
"195","Alex de la Iglesia","Witching & Bitching",6.8,2014,FALSE
"196","Alex De La Iglesia","El Crimen Perfecto",7.2,2004,FALSE
"197","Alex De La Iglesia","The Day of The Beast",5.5,1999,FALSE
"198","Alex Fegan","Older than Ireland",6.2,2016,FALSE
"199","Alex Garland","Annihilation",7.3,2018,FALSE
"200","Alex Garland","Ex Machina",7.1,2015,FALSE
"201","Alex Gregory and Peter Huyck","A Good Old Fashioned Orgy",5.5,2011,FALSE
"202","Alex Holdridge","In Search of a Midnight Kiss",6,2008,FALSE
"203","Alex Johnson","Two Step",7,2014,FALSE
"204","Alex Kendrick","Fireproof",5,2008,FALSE
"205","Alex Kurtzman","The Mummy",5,2017,FALSE
"206","Alex Lehmann","Blue Jay",6.6,2016,FALSE
"207","Alex Perry","Listen Up Philip",7.2,2014,FALSE
"208","Alex Perry","The Color Wheel",7,2011,FALSE
"209","Alex Proyas","Dark City",7.1,1998,FALSE
"210","Alex Proyas","Garage Days",6.9,2003,FALSE
"211","Alex Proyas","Gods of Egypt",6.3,2016,FALSE
"212","Alex Proyas","I Robot",6,2004,FALSE
"213","Alex Proyas","Knowing",4,2009,FALSE
"214","Alex Rivera","Sleep Dealer",6.5,2009,FALSE
"215","Alex Ross Perry","Golden Exits",7,2018,FALSE
"216","Alex Ross Perry","Queen of Earth",6.9,2015,FALSE
"217","Alex Ross Perry","The Color Wheel",5,2012,FALSE
"218","Alex Smith and Andrew Smith","Winter in the Blood",6.5,2014,FALSE
"219","Alex Steyermark","One Last Thing",5,2006,FALSE
"220","Alex Winter","Fever",6.5,2001,FALSE
"221","Alexander Janko","Year by the Sea'",6.1,2017,FALSE
"222","Alexander Mitta","Chagall-Malevich",6,2015,FALSE
"223","Alexander Payne","About Schmidt",7,2002,FALSE
"224","Alexander Payne","Downsizing",7,2017,FALSE
"225","Alexander Payne","Election",6.8,1999,FALSE
"226","Alexander Payne","Nebraska",6.2,2013,FALSE
"227","Alexander Payne","Sideways",7.1,2004,FALSE
"228","Alexander Payne","The Descendants",6.8,2011,FALSE
"229","Alexander Poe","Ex-Girlfriends",5,2012,FALSE
"230","Alexander Sokurov","Alexandra",7.1,2007,FALSE
"231","Alexander Sokurov","Moloch",7.1,1999,FALSE
"232","Alexander Sokurov","Russian Ark",7.3,2002,FALSE
"233","Alexander Sokurov","The Sun",6.5,2009,FALSE
"234","Alexander Zeidovich","Target",7,2011,FALSE
"235","Alexandr Sokurov","Faust",7.1,2011,FALSE
"236","Alexandra Lipsitz","Air Guitar Nation",7,2007,FALSE
"237","Alexandra McGuinness","Lotus Eaters",4.5,2013,FALSE
"238","Alexandre Aja","High Tension",6,2005,FALSE
"239","Alexandre Aja","Horns",6,2014,FALSE
"240","Alexandre Aja","Piranha 3D",4,2010,FALSE
"241","Alexandre Aja","The Last House on the Left",5,2009,FALSE
"242","Alexandre Arcady","24 Days",5,2015,FALSE
"243","Alexandre Moors","Blue Caprice",6,2013,FALSE
"244","Alexandre Rockwell","Little Feet",6.7,2014,FALSE
"245","Alexandre Sokurov"," Father and Son",6.8,2003,TRUE
"246","Alexandros Avranas","Miss Violence",7,2013,FALSE
"247","Alexei Popogrebsky","How I Ended This Summer",7,2010,FALSE
"248","Alexey Balabanov","Cargo 200",6.5,2008,FALSE
"249","Alexis Dos Santos","Unmade Beds",6.5,2009,FALSE
"250","Alexis Lloyd","30 Beats",5,2012,FALSE
"251","Alexs Stadermann","Maya the Bee Movie",6,2015,FALSE
"252","Alfonso Cuaron","Children of Men",7,2006,FALSE
"253","Alfonso Cuaron","Gravity",6.8,2013,FALSE
"254","Alfonso Cuaron","Henry Potter and the Prisoner of Azkaban",4,2004,FALSE
"255","Alfonso Cuaron","Solo con Tu Pareja",7,2001,FALSE
"256","Alfonso Cuaron","Y Tu Mama Tambien",6.8,2001,FALSE
"257","Alfonso Gomez-Rejon","Me and Earl and the Dying Girl",6.9,2015,FALSE
"258","Alfredo de Villa","Nothing Like the Holidays",5,2008,FALSE
"259","Alfredo de Villa","Washington Heights",5.5,2003,FALSE
"260","Alfredo DeVilla","Adrift in Manhattan",5,2007,FALSE
"261","Ali Soozandeh","Tehran Taboo",6.5,2018,FALSE
"262","Alice Lowe","Prevenge",6.9,2017,FALSE
"263","Alice Rohrwacher","Happy as Lazzaro",7.2,2018,FALSE
"264","Alice Rohrwacher","The Wonders",6.8,2014,FALSE
"265","Alice Winocour","Augustine",7,2012,FALSE
"266","Alice Winocour","Disorder",6.8,2016,FALSE
"267","Alicia Scherson","Il Futuro",6,2013,FALSE
"268","Alireza Khatami"," Oblivion Verses",7,2017,TRUE
"269","Alison Bagnall","Piggie",5,2005,FALSE
"270","Alison Bagnall","The Dish & the Spoon",6.5,2011,FALSE
"271","Alison Eastwood","Rails & Ties",5,2007,FALSE
"272","Alison Maclean","Jesus' Son",6.8,2000,FALSE
"273","Alison Maclean","The Rehearsal",6.8,2016,FALSE
"274","Alison Murray","Mouth to Mouth",6.5,2006,FALSE
"275","Alister Grierson","Sanctum",4.8,2011,FALSE
"276","Allan Brocka","Boy Culture",5,2007,FALSE
"277","Allan Brooks","Eating Out",5,2005,FALSE
"278","Allan Moyle","New Waterford Girl",6,2000,FALSE
"279","Allen and Albert Hughes","The Book of Eli",6,2010,FALSE
"280","Allen Coulter","Hollywood Land",5.5,2006,FALSE
"281","Allen Coulter","Remember Me",5,2010,FALSE
"282","Allen Hughes","Broken City",6.4,2013,FALSE
"283","Allen Wolf","In My Sleep",5,2010,FALSE
"284","Allie Dvorin","A Novel Romance",4.5,2011,FALSE
"285","Allison Anders & Kurt Voss","Sugar Town",5,1999,FALSE
"286","Alonso Mayo","The Story of Luke",6,2013,FALSE
"287","Alonso Ruizpalacios","Gueros",6.9,2015,FALSE
"288","Alonso Ruizpalacios","Museo",7.2,2018,FALSE
"289","Aluizio Abranches","The Three Marias",6,2003,FALSE
"290","Ama Lily Amirpour","The Bad Batch",7.2,2016,FALSE
"291","Amat Escalante","Heli",7.1,2013,FALSE
"292","Amat Escalante","La Region Salvaje",7,2016,FALSE
"293","Amat Escalante","The Untamed",5.8,2017,FALSE
"294","Amber Sealey","No Light and No Land Anywhere",6.8,2018,FALSE
"295","Amir Bar-Lev","Fighter",6.5,2001,FALSE
"296","Amitabh Bachchan","Paa",6,2009,FALSE
"297","Amma Asante","A United Kingdom",6.5,2017,FALSE
"298","Amma Asante","Belle",6.9,2014,FALSE
"299","Amnon Buchbinder","Whole New Thing",6,2007,FALSE
"300","Amos Gitai","Carmel",6.5,2010,FALSE
"301","Amos Gitai","Free Zone",6,2006,FALSE
"302","Amos Gitai","Kedma",6.5,2002,FALSE
"303","Amos Gitai","One Day You'll Understand",6.3,2008,FALSE
"304","Amos Gitai","Rabin, the Last Day",6,2016,FALSE
"305","Amos Gitai","Yom Yom",6.7,1998,FALSE
"306","Amos Kollek","Bridget",6.5,2001,FALSE
"307","Amos Kollek","Fast Food Fast Women",5,2001,FALSE
"308","Amos Poe","Frogs For Snakes",6,1999,FALSE
"309","Amy Berg","Every Secret Thing",6.4,2015,FALSE
"310","Amy Heckerling","Loser",4.5,2000,FALSE
"311","Amy Seimetz","Sun Don't Shine",7,2012,FALSE
"312","Ana Lily Amirpour","A Girl Walks Home Alone at Night",7.1,2014,FALSE
"313","Anah<U+613C><U+3E31> Berneri","A Year Without Love",5,2006,FALSE
"314","Anahita Ghazvinizadeh","They",7,2017,FALSE
"315","Anand Gandhi","Ship of Theseus",7,2012,FALSE
"316","Anand Tucker","Hilary And Jackie",6.5,1998,FALSE
"317","Anand Tucker","Leap Year",4,2010,FALSE
"318","Anand Tucker","Shopgirl",6.5,2005,FALSE
"319","Anand Tucker","When Did You Last See Your Father",6,2008,FALSE
"320","Ananth Narayan Mahadevan","Red Alert - The War Within",5.5,2010,FALSE
"321","Anders Jensen","Adam's Apples",5,2007,FALSE
"322","Anders Morgenthaler","The 11th Hour",5.6,2015,FALSE
"323","Anders Thomas Jensen","Adam's Apples",6.8,2005,FALSE
"324","Anders Walter","I Kill Giants",7,2018,FALSE
"325","Andre' Techine'"," Strayed",6.5,2003,TRUE
"326","Andre Ovredal"," Trollhunter (2010)",7,2010,TRUE
"327","Andre Techine"," Changing Times",5.8,2004,TRUE
"328","Andre Techine"," In the Name of My Daughter",5,2014,TRUE
"329","Andre Techine"," Strayed",5,2003,TRUE
"330","Andre Techine"," The Girl on the Train",5,2009,TRUE
"331","Andre Techine"," The Witnesses",6.9,2007,TRUE
"332","Andre Techine"," Unforgivable",5,2011,TRUE
"333","Andre Techine","Being 17",5.5,2016,FALSE
"334","Andre Techine","In the Name of My Daughter",5.6,2015,FALSE
"335","Andre Techine","Loin",5,2001,FALSE
"336","Andre Techine","Unforgivable",6,2012,FALSE
"337","Andre Technie","The Girl on the Train",6.5,2010,FALSE
"338","Andre Wood","Machuca",5,2004,FALSE
"339","Andre` Techine`","Alice And Martin",6.3,1998,FALSE
"340","Andrea Arnold","American Honey",7,2016,FALSE
"341","Andrea Arnold","Fish Tank",6.8,2009,FALSE
"342","Andrea Arnold","Red Road",7,2007,FALSE
"343","Andrea Arnold","Wuthering Heights",5.5,2012,FALSE
"344","Andrea DiStefano","Escobar - Paradise Lost",5.6,2015,FALSE
"345","Andrea Pallaoro","Hannah",7,2018,FALSE
"346","Andrea Pallaoro","Medeas",7,2013,FALSE
"347","Andrea Staka","Fr<U+0084>ulein",6,2008,FALSE
"348","Andreas Dresen"," Grill Point""",6.9,2002,TRUE
"349","Andreas Dresen","Cloud 9",6,2009,FALSE
"350","Andreas Dresen","Summer in Berlin",5,2007,FALSE
"351","Andrei Konchalovsky","Nutcracker in 3D",6.8,2010,FALSE
"352","Andrei Konchalovsky","Paradise",6.9,2016,FALSE
"353","Andrei Kravchuk","The Italian",7,2007,FALSE
"354","Andrei Zviagintsev"," The Banishment",7,2007,TRUE
"355","Andrei Zvyagintsev","Elena",7,2011,FALSE
"356","Andrej Konchalovskij","The Postman's White Nights",7,2014,FALSE
"357","Andrej Konchalovsky","House of Fools",6.5,2003,FALSE
"358","Andrej Michalkov Konchalovskij","House of Fools",7.1,2002,FALSE
"359","Andrej Zvjagintsev"," The Return",7.2,2003,TRUE
"360","Andres Wood","Violeta Went to Heaven",6,2013,FALSE
"361","Andrew Adamson","Shrek",6,2001,FALSE
"362","Andrew Adamson","Shrek 2",5.2,2004,FALSE
"363","Andrew Adamson: The Chronicles of Narnia","Prince Caspian",5,2008,FALSE
"364","Andrew Adamson: The Chronicles of Narnia","The Lion, the Witch and the Wardrobe",6,2005,FALSE
"365","Andrew Ahn","Spa Night",6.9,2016,FALSE
"366","Andrew Bergman","Isn't She Great",4.1,2000,FALSE
"367","Andrew Betzer","Young Bodies Heal Quickly",6.2,2015,FALSE
"368","Andrew Bujalski","Beeswax",7,2009,FALSE
"369","Andrew Bujalski","Computer Chess",7,2013,FALSE
"370","Andrew Bujalski","Funny Ha Ha",6.5,2005,FALSE
"371","Andrew Bujalski","Mutual Appreciation",7.2,2005,FALSE
"372","Andrew Bujalski","Results",7,2015,FALSE
"373","Andrew Currie","Fido",6,2007,FALSE
"374","Andrew Davis","Collateral Damage",4,2002,FALSE
"375","Andrew Davis","Holes",6.5,2003,FALSE
"376","Andrew Davis","Perfect Murder",6,1998,FALSE
"377","Andrew Davis","The Guardian",4.5,2006,FALSE
"378","Andrew Disney","Balls Out",6.5,2015,FALSE
"379","Andrew Dominik","Killing Them Softly",6,2012,FALSE
"380","Andrew Dominik","The Assassination of Jesse James by the Coward Robert Ford",6.5,2007,FALSE
"381","Andrew Dosunmu","Mother of George",7,2013,FALSE
"382","Andrew Dosunmu","Where Is Kyra",6.8,2018,FALSE
"383","Andrew Fleming","Dick",6.7,1999,FALSE
"384","Andrew Fleming","Nancy Drew",4,2007,FALSE
"385","Andrew Fleming","The In-Laws",4,2003,FALSE
"386","ANdrew Fleming","Hamlet 2",6,2008,FALSE
"387","Andrew Haigh","45 Years",6.9,2015,FALSE
"388","Andrew Haigh","Lean on Pete",6.7,2018,FALSE
"389","Andrew Haigh","Weekend",7,2011,FALSE
"390","Andrew Jarecki","All Good Things",6.8,2010,FALSE
"391","Andrew Jenkins","How to Rob a Bank",4.5,2008,FALSE
"392","Andrew Lau","Infernal Affairs",6.9,2002,FALSE
"393","Andrew Lau and Andrew Loo","Revenge of the Green Dragons",5,2014,FALSE
"394","Andrew Levitas","Lullaby",4,2014,FALSE
"395","Andrew Neel","Goat",6,2016,FALSE
"396","Andrew Neel","King Kelly",6.5,2012,FALSE
"397","Andrew Niccol","Gattaca",6.2,1998,FALSE
"398","Andrew Niccol","Good Kill",7,2014,FALSE
"399","Andrew Niccol","In Time",6.2,2011,FALSE
"400","Andrew Niccol","Lord of War",5,2005,FALSE
"401","Andrew Niccol","Simone",6.5,2002,FALSE
"402","Andrew Niccol","The Host",5,2013,FALSE
"403","Andrew Renzi","The Benefactor",5.1,2016,FALSE
"404","Andrew Semans","Nancy Please",6.4,2013,FALSE
"405","Andrew Smith","The Slaughter Rule",5,2002,FALSE
"406","Andrew Stanton","Finding Nemo",5,2003,FALSE
"407","Andrew Stanton","John Carter",6,2012,FALSE
"408","Andrew Stanton","Wall-E",7,2008,FALSE
"409","Andrew Stanton & Angus MacLane","Finding Dory",5.5,2016,FALSE
"410","Andrew van den Houten","Headspace",6,2006,FALSE
"411","Andrew Wagner","Starting Out in the Evening",7,2007,FALSE
"412","Andrew Wagner","The Talent Given Us",7,2005,FALSE
"413","Andrey Khrzhanovsky","A Room and a Half",6.5,2010,FALSE
"414","Andrey Zvyagintsev"," Loveless",7.2,2017,TRUE
"415","Andrey Zvyagintsev","Leviathan",7.3,2014,FALSE
"416","Andrucha Waddington","House of Sand",6.5,2006,FALSE
"417","Andrucha Waddington","Me You Them",6.5,2001,FALSE
"418","Andrzej Bartkowiak","Cradle 2 the Grave",4.5,2003,FALSE
"419","Andrzej Bartkowiak","Doom",5,2005,FALSE
"420","Andrzej Bartkowiak","Romeo Must Die",6,2000,FALSE
"421","Andrzej Krakowski","Looking for Palladin",5,2009,FALSE
"422","Andrzej Wajda","Afterimage",7,2016,FALSE
"423","Andrzej Wajda","Katyn",6.5,2009,FALSE
"424","Andy Cadiff","Chasing Liberty",5,2004,FALSE
"425","Andy Fickman","Parental Guidance",6,2012,FALSE
"426","Andy Fickman","Race to Witch Mountain",4.5,2009,FALSE
"427","Andy Fickman","She's the Man",5,2006,FALSE
"428","Andy Fickman","You Again",4.5,2010,FALSE
"429","Andy Garcia","The Lost City",6,2006,FALSE
"430","Andy Goddard","Set Fire to the Stars",6,2015,FALSE
"431","Andy Muschietti","It",6,2017,FALSE
"432","Andy Muschietti","Mama",7,2013,FALSE
"433","Andy Serkis","Breathe",5,2017,FALSE
"434","Andy Tennant","Anna And The King",4.6,1999,FALSE
"435","Andy Tennant","Ever After",5.4,1998,FALSE
"436","Andy Tennant","Fool's Gold",4.5,2008,FALSE
"437","Andy Tennant","Hitch",5,2005,FALSE
"438","Andy Tennant","Sweet Home Alabama",6.5,2002,FALSE
"439","Andy Tennant","The Bounty Hunter",5.5,2010,FALSE
"440","Aneez Bazmee","Singh is Kinng",5,2008,FALSE
"441","Ang Lee","Billy Lynn's Long Halftime Walk",6.5,2016,FALSE
"442","Ang Lee","Brokeback Mountain",6.8,2005,FALSE
"443","Ang Lee","Crouching Tiger Hidden Dragon",6,2000,FALSE
"444","Ang Lee","Life of Pi",5,2012,FALSE
"445","Ang Lee","Lust Caution",5,2007,FALSE
"446","Ang Lee","Ride With The Devil",6.5,1999,FALSE
"447","Ang Lee","Taking Woodstock",6.1,2009,FALSE
